property_id,similar_property_ids
COMP-1699321743153892657,"['COMP-1705258241987142361', 'OLRS-2094098', 'RPLU-33422742967', 'RPLU-798323224619', 'RPLU-5123205480']"
COMP-1699481757370922057,"['COMP-1705258241987142361', 'OLRS-2094098', 'RLMX-103083', 'RPLU-798323224619', 'RLMX-93358']"
COMP-1700225521102120465,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1663821335494630033', 'RPLU-798323224619', 'COMP-1623959750280275713']"
COMP-1700326410294492937,"['COMP-1505362808172668593', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1572678218651844553', 'RPLU-798323224619']"
COMP-1700396640383759569,"['RLMX-99756', 'RPLU-850722660979', 'COMP-1637011825964067761', 'RLMX-012130023559', 'COMP-1692976956094756921']"
COMP-1702416530636040561,"['COMP-1705258241987142361', 'OLRS-2094098', 'RSFT-00110000000286', 'RPLU-798323224619', 'COMP-1373528583716575065']"
COMP-1702962826845723313,"['COMP-1658345314333037049', 'COMP-1705258241987142361', 'OLRS-2094098', 'RPLU-798323224619', 'OLRS-00010084525']"
COMP-1703127448319631569,"['COMP-1640048978786674161', 'COMP-1693803675186021017', 'COMP-1705258241987142361', 'OLRS-2094098', 'RPLU-798323224619']"
COMP-1703642892053580409,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1674179785097031889', 'RPLU-798323224619', 'COMP-1576106955267332465']"
COMP-1703843709666251289,"['COMP-1505362808172668593', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1704022342104489353', 'RPLU-798323224619']"
COMP-1704022342104489353,"['COMP-1505362808172668593', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1667606033422999721', 'RPLU-798323224619']"
COMP-1704415554463451433,"['OLRS-00011942796', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1652389380779563401', 'RPLU-798323224619']"
COMP-1705214924582711849,"['COMP-1698937623458366481', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1692205276845515385', 'RPLU-798323224619']"
COMP-1705258241987142361,"['COMP-1679125010216594385', 'OLRS-2094098', 'COMP-1655237396959534561', 'RPLU-798323224619', 'COMP-1640048978786674161']"
COMP-1705398161753928793,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1661684773988972089', 'RPLU-798323224619', 'COMP-1571825143908990513']"
COMP-1707319189400742457,"['COMP-1505362808172668593', 'COMP-1497261247040023473', 'COMP-1705214924582711849', 'COMP-1705258241987142361', 'OLRS-2094098']"
COMP-1707598032607303713,"['COMP-1705258241987142361', 'OLRS-2094098', 'RSFT-00120000006223', 'RPLU-798323224619', 'COMP-1653809857553206081']"
