property_id,similar_property_ids
COMP-1579308497165476705,[]
COMP-1580636494317410561,['RPLU-798323224619']
COMP-1581441746193335569,[]
COMP-1581905822602489065,[]
COMP-1582058613220260473,[]
COMP-1582811253306739993,[]
COMP-1585084350907318097,[]
COMP-1586228083644102097,['RPLU-850723224169']
COMP-1586236217574073761,[]
COMP-1587176725117662809,['RPLU-33422974931']
COMP-1587840750364736497,[]
COMP-1587879845279853073,"['PRCH-35044292', 'RPLU-33423125640']"
COMP-1588661239778416649,['COMP-1599708891909679513']
COMP-1590744201340853209,[]
COMP-1591259149237754305,"['RPLU-21923260653', 'COMP-1578293122336349425', 'RPLU-798323224619']"
COMP-1592026876781714057,"['RPLU-33422886937', 'RPLU-33422974931']"
COMP-1592192911166155841,['COMP-1537677622603940545']
COMP-1592199972436137057,"['COMP-1656758554351390753', 'COMP-1505362808172668593']"
COMP-1592821445178061793,[]
COMP-1593092868816026353,['RPLU-5123202980']
COMP-1593654020033549825,[]
COMP-1594914606390349417,[]
COMP-1596750905325669729,['OLRS-2107248']
COMP-1597126731254797809,['OLRS-2075923']
COMP-1597149764770014809,[]
COMP-1597875029766692329,['COMP-1505362808172668593']
COMP-1598023107036980129,[]
COMP-1598189419965223841,[]
COMP-1598189996263033017,[]
COMP-1598190591098786153,[]
COMP-1598466006380078129,[]
COMP-1598683320526541105,['RPLU-798323224619']
COMP-1598900068827608337,['COMP-1598900280480466505']
COMP-1598900280480466505,['COMP-1598900068827608337']
COMP-1599304511385506401,[]
COMP-1599708891909679513,['COMP-1588661239778416649']
COMP-1600098047748199073,"['COMP-1600313958816227969', 'OLRS-2107248']"
COMP-1600313958816227969,"['COMP-1600098047748199073', 'OLRS-2107248']"
COMP-1600885881408902177,[]
COMP-1600893304278402521,[]
COMP-1601096981796605137,[]
COMP-1601172227230977793,['COMP-1700396640383759569']
COMP-1601350579447300593,['COMP-1640048978786674161']
COMP-1602164976054821401,[]
COMP-1603041749260979113,"['RPLU-850722660979', 'RPLU-850723024926']"
COMP-1603632477131891809,['RPLU-63223238783']
COMP-1603777933354842321,[]
COMP-1604095410006126161,"['OLRS-0097083', 'OLRS-0094127', 'RLMX-101839']"
COMP-1604311922973264489,['RLMX-102235']
COMP-1604375840441854297,['COMP-1640048978786674161']
COMP-1606646355896068113,['RPLU-798323224619']
COMP-1606754223060372993,"['RPLU-63223252871', 'RPLU-5123123549']"
COMP-1607479886761219417,['COMP-1593092868816026353']
COMP-1608050407466469081,"['COMP-1436460808857829281', 'OLRS-00011942796']"
COMP-1611065236847604041,"['COMP-1667606033422999721', 'COMP-1505362808172668593']"
COMP-1612528132439870097,['COMP-1575827621985933217']
COMP-1612645768137999425,['RLMX-99021']
COMP-1613921760224834985,[]
COMP-1615930101813566681,[]
COMP-1616033953804701129,[]
COMP-1616137200308842825,['COMP-1631240054457564601']
COMP-1616359476690510889,['COMP-1649481302051527089']
COMP-1616736992600706849,[]
COMP-1617515355968373561,[]
COMP-1618185941639885201,['RPLU-63223252871']
COMP-1618204644087231345,['RLMX-100443']
COMP-1619018843832523161,[]
COMP-1619257647948476681,"['RPLU-33422974599', 'COMP-1505362808172668593']"
COMP-1621258897154340121,[]
COMP-1622425264311390569,"['RLMX-101060', 'RLMX-102887', 'OLRS-00011942796']"
COMP-1622470612908695729,['COMP-1700326410294492937']
COMP-1622603123076806961,[]
COMP-1622727575885905529,[]
COMP-1622813294331827017,['COMP-1505362808172668593']
COMP-1622831721662147513,[]
COMP-1623218797771651233,['RPLU-1086923183751']
COMP-1623959750280275713,[]
COMP-1624064775132309945,"['RPLU-63223121431', 'COMP-1705214924582711849']"
COMP-1624126614046010841,[]
COMP-1625420134148622681,['COMP-1705214924582711849']
COMP-1625643564806708249,['COMP-1674030382880363265']
COMP-1625714615402171073,[]
COMP-1626172083718493113,[]
COMP-1626795694196208833,[]
COMP-1627503330257806033,['RPLU-1032523253022']
COMP-1627678941656003193,['RPLU-5122398511']
COMP-1627740055777465921,[]
COMP-1627741207465543745,[]
COMP-1628220185926791465,['COMP-1505362808172668593']
COMP-1628503315028766233,[]
COMP-1629149646587998617,['COMP-1705214924582711849']
COMP-1629787107093730985,['COMP-1654432718646740889']
COMP-1630645325521224073,"['COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1631152331419512057,[]
COMP-1631221135143431385,"['COMP-1103644741825260753', 'OLRS-2094098']"
COMP-1631228942630597225,[]
COMP-1631235707120164569,[]
COMP-1631240054457564601,"['COMP-1616137200308842825', 'COMP-1505362808172668593']"
COMP-1631367320428506857,"['COMP-1646646119304773137', 'RPLU-63223238783']"
COMP-1631551699038166721,"['OLRS-00011771363', 'OLRS-1729912']"
COMP-1631577621195027665,[]
COMP-1631919829467203265,[]
COMP-1632725024067210065,['RPLU-33423151278']
COMP-1633361603601301393,[]
COMP-1633369734217300057,['RPLU-33423092129']
COMP-1633613156321688321,[]
COMP-1634146963017604329,['RLMX-102435']
COMP-1634158284719157929,['COMP-1705214924582711849']
COMP-1634199214725987889,[]
COMP-1635578399054779097,[]
COMP-1636269756241042569,"['RPLU-5123141207', 'OLRS-00011623129', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1636434880352335513,"['COMP-1638644375096526049', 'RPLU-33423150965', 'RPLU-33423155190', 'COMP-1652999144668154057', 'OLRS-00021470425']"
COMP-1636449816503481273,"['RPLU-63222942898', 'COMP-1657273867983641369']"
COMP-1636462441023169073,"['COMP-1618185941639885201', 'COMP-1705214924582711849']"
COMP-1636544772257482601,['COMP-1705214924582711849']
COMP-1637011825964067761,"['COMP-1563113432576696833', 'COMP-1625643564806708249']"
COMP-1637705087491427257,[]
COMP-1637925230671055585,"['RPLU-5123141207', 'RPLU-63223238783']"
COMP-1638106893702558881,[]
COMP-1638644375096526049,"['COMP-1636434880352335513', 'COMP-1652999144668154057']"
COMP-1638656181366130905,['COMP-1604095410006126161']
COMP-1639207515723092177,"['RPLU-63223252871', 'RPLU-536423146089', 'RPLU-1032523237065']"
COMP-1639260620393536617,[]
COMP-1639472938880434977,"['RPLU-1032522874033', 'RPLU-33422974931']"
COMP-1639777936209921145,['COMP-1311447325647049625']
COMP-1640048978786674161,['RPLU-21922957780']
COMP-1640628946298400929,['COMP-1705214924582711849']
COMP-1641339597199235881,[]
COMP-1642252437283886993,['RLMX-102435']
COMP-1642385591764727889,[]
COMP-1642777691132176025,[]
COMP-1642862667948992665,"['PRCH-21018423', 'PRCH-7520663']"
COMP-1643014267191722529,[]
COMP-1643017988042913201,"['COMP-1636434880352335513', 'RPLU-33423152729', 'RPLU-63223238783']"
COMP-1643043168269898649,"['COMP-1648791511379158769', 'COMP-1705258241987142361']"
COMP-1643045659887823513,[]
